Company Name,CompanyPhoneNumber,AREmailAddress,APEmailAddress
Almighty Almonds,7664279411,6-CF15-4211-A2C0-1260FF863F6E_AR@.com,6-CF15-4211-A2C0-1260FF863F6E_AP@.com
Apex Apples,3573746464,A-0663-4F01-86ED-22AE49DF30AF_AR@.com,A-0663-4F01-86ED-22AE49DF30AF_AP@.com
Calm and Collected Cameras,5365017465,E-CB98-46B6-8926-91598237025A_AR@.com,E-CB98-46B6-8926-91598237025A_AP@.com
Carbon Copy Cards,3906044646,C-7DCE-4BCC-8C05-CDD27CAF290C_AR@.com,C-7DCE-4BCC-8C05-CDD27CAF290C_AP@.com
Cartoon Cat Carriers,4943058244,7-AB72-4B9F-9C49-BF54B38E4DBD_AR@.com,7-AB72-4B9F-9C49-BF54B38E4DBD_AP@.com
Charming Cheeses,3924516147,4-B6C5-413C-9B92-A9F4A411292E_AR@.com,4-B6C5-413C-9B92-A9F4A411292E_AP@.com
Clean Coffee,4519021645,1-F0A1-415F-8024-A54DB4C2C683_AR@.com,1-F0A1-415F-8024-A54DB4C2C683_AP@.com
Dapper Data,8983045067,A-B754-4E49-925B-28883E1FA2FE_AR@.com,A-B754-4E49-925B-28883E1FA2FE_AP@.com
Dynamic Doors,6984368711,2-9ABE-41FA-90AE-2D5EFB40154D_AR@.com,2-9ABE-41FA-90AE-2D5EFB40154D_AP@.com
Green Grapes,4784014804,4-D323-4901-99BB-4060D89E5773_AR@.com,4-D323-4901-99BB-4060D89E5773_AP@.com
Lockstep Demo Data,3396654679,9-A524-47C7-9456-080D73956E58_AR@.com,9-A524-47C7-9456-080D73956E58_AP@.com
Lockstep Pad Locks,2779308188,9-1D6C-4094-828B-2DA921B9E133_AR@.com,9-1D6C-4094-828B-2DA921B9E133_AP@.com
Magical Mimics,8894165664,A-7508-4A9E-B2F7-6F42575AA1BE_AR@.com,A-7508-4A9E-B2F7-6F42575AA1BE_AP@.com
Maximum Headroom,8747894747,E-1114-47A8-9F6C-2027D17864B7_AR@.com,E-1114-47A8-9F6C-2027D17864B7_AP@.com
Remarkable Reality,8141424129,D-40C9-4FE9-8715-133D8ADFC455_AR@.com,D-40C9-4FE9-8715-133D8ADFC455_AP@.com
Sacred Safeguards,8532209906,3-F74E-4FF9-A026-8F10D63CAF21_AR@.com,3-F74E-4FF9-A026-8F10D63CAF21_AP@.com
Schwifty Shack,5513485422,3-AC1D-4A03-9CC2-EAA3C9369F92_AR@.com,3-AC1D-4A03-9CC2-EAA3C9369F92_AP@.com
Stepladder Straps,1356103430,1-2FFA-446D-A20D-C2486AD75330_AR@.com,1-2FFA-446D-A20D-C2486AD75330_AP@.com
Tiger Taming,9366221802,F-C7E6-41EA-9555-81ADE6A0DEC3_AR@.com,F-C7E6-41EA-9555-81ADE6A0DEC3_AP@.com
Tranquil Tomatoes,8317145391,C-50BC-4161-84DC-C83C630A85BC_AR@.com,C-50BC-4161-84DC-C83C630A85BC_AP@.com
